party	member_name	question	answer	comment
Laisvės partija	Agnė Gabrėnienė	33. Žmonių problemos būtų sprendžiamos veiksmingiau, jei centrinė valdžia perduotų daugiau galių vietos savivaldai	Visiškai sutinku	
Laisvės partija	Aidas Baškys	1. Valstybė turėtų didinti mokesčius didesnes pajamas gaunantiems gyventojams, kad galėtų išplėsti socialinę paramą ir paslaugas	Visiškai sutinku	
Laisvės partija	Aidas Baškys	2. Valstybė turėtų kiek įmanoma mažiau kištis į ekonomiką	Greičiau sutinku	
Laisvės partija	Aidas Baškys	3. Įmonėms turi būti leidžiama lengvai atleisti darbuotojus	Greičiau nesutinku	
Laisvės partija	Aidas Baškys	4. Laisva rinka užtikrina didesnį sveikatos paslaugų prieinamumą ir aukštesnę kokybę	Visiškai sutinku	
Laisvės partija	Aidas Baškys	5. Valstybė turėtų mažinti PVM pagrindiniams maisto produktams	Visiškai sutinku	
Laisvės partija	Aidas Baškys	6. Gyventojų pajamų mokestį visiems Lietuvos gyventojams reikia mažinti iki 15 proc	Greičiau nesutinku	
Laisvės partija	Aidas Baškys	7. Mokyklų tinklas Lietuvoje turi būti mažinamas	Visiškai nesutinku	
Laisvės partija	Aidas Baškys	8. Lietuvoje reikia didinti aplinkosaugos mokesčius	Visiškai sutinku	
Laisvės partija	Aidas Baškys	9. Marihuanos vartojimas laisvalaikio tikslais turi būti legalizuotas	Visiškai sutinku	
Laisvės partija	Aidas Baškys	10. Lietuvoje išduodamuose asmens dokumentuose turėtų būti leidžiama rašyti nelietuviško raidyno raides (pvz., „w“, „x“ ir „q“)	Visiškai nesutinku	
Laisvės partija	Aidas Baškys	11. Tos pačios lyties asmenų poros turi turėti tokias pat teises tuoktis kaip ir heteroseksualios poros	Visiškai sutinku	
Laisvės partija	Aidas Baškys	12. Imigracija į Lietuvą iš trečiųjų (ne ES) šalių turi būti griežtai ribojama	Greičiau sutinku	
Laisvės partija	Aidas Baškys	13. Moterys turi turėti teisę laisvai apsispręsti dėl aborto	Visiškai sutinku	
Laisvės partija	Aidas Baškys	14. Bausmės nusikaltėliams turi būti griežtinamos	Greičiau nesutinku	
Laisvės partija	Aidas Baškys	15. Griežti piliečių laisvių ir teisių suvaržymai (pavyzdžiui, mobiliojo ryšio priemonių sekimas) yra priimtini kovojant su pandemija	Greičiau nesutinku	
Laisvės partija	Aidas Baškys	16. Valstybinė lietuvių kalbos inspekcija turi būti panaikinta	Visiškai nesutinku	
Laisvės partija	Aidas Baškys	17. Lietuva galėtų pirkti elektrą iš Astravo atominės elektrinės, jeigu ji būtų pigesnė už esamas alternatyvas	Visiškai nesutinku	
Laisvės partija	Aidas Baškys	18. ES ekonominės sankcijos Rusijai turėtų būti švelninamos, net jei ji toliau nesilaikytų Minsko susitarimų su Ukraina	Visiškai nesutinku	
Laisvės partija	Aidas Baškys	19. Reikėtų siekti, kad Lietuvos gynybos biudžetas būtų didinamas virš NATO normos ir pasiektų 2,5 proc. BVP	Visiškai sutinku	
Laisvės partija	Aidas Baškys	20. Lietuvos retorika Rusijos atžvilgiu yra pernelyg agresyvi	Visiškai nesutinku	
Laisvės partija	Aidas Baškys	21. Reikėtų siekti ekonomiškai naudingo bendradarbiavimo su Baltarusija, net jei ten pažeidinėjamos žmogaus teisės ir laisvės	Visiškai nesutinku	
Laisvės partija	Aidas Baškys	22. Lietuvoje reikia riboti Rusijos federacijos televizijos kanalų transliacijas	Greičiau sutinku	
Laisvės partija	Aidas Baškys	23. Lietuva turi remti žmogaus teisių ir demokratijos šalininkus Kinijoje, net jeigu dėl to suprastėtų santykiai su šia šalimi	Visiškai sutinku	
Laisvės partija	Aidas Baškys	24. Lietuva turėtų palaikyti Lenkiją, nepaisant ES kritikos dėl demokratijos principų pažeidimų	Greičiau nesutinku	
Laisvės partija	Aidas Baškys	25. Išsiskyrus JAV ir ES lyderių pozicijoms, Lietuva turėtų remti ES pusę	Greičiau nesutinku	
Laisvės partija	Aidas Baškys	26. NATO ir ES valstybių pilietybę įgijusiems Lietuvos piliečiams turėtų būti leista išsaugoti Lietuvos pilietybę	Greičiau sutinku	
Laisvės partija	Aidas Baškys	27. ES ateityje turėtų judėti gilesnės integracijos link, net jei dėl to mažiau galių turės nacionalinės valdžios institucijos	Nei taip, nei ne	
Laisvės partija	Aidas Baškys	28. Jono Noreikos-Generolo Vėtros atminimo lenta ant Lietuvos mokslų akademijos Vrublevskių bibliotekos sienos turi būti palikta	Visiškai sutinku	
Laisvės partija	Aidas Baškys	29. Petro Cvirkos paminklas Vilniuje turi būti nukeltas	Greičiau sutinku	
Laisvės partija	Aidas Baškys	30. Vilniaus savivaldybė turi teisę Lukiškių aikštėje įrengti smėlio paplūdimį, net jei tai nevienareikšmiškai vertinama visuomenėje	Visiškai sutinku	
Laisvės partija	Aidas Baškys	31. Tėvai turi galėti laisvai apsispręsti, ar skiepyti savo vaikus, net jei tai keltų grėsmę visuomenės saugumui	Visiškai nesutinku	
Laisvės partija	Aidas Baškys	32. LR Seimo nariai turi būti renkami proporcine sistema pagal partijų sąrašus	Visiškai nesutinku	
Laisvės partija	Aidas Baškys	33. Žmonių problemos būtų sprendžiamos veiksmingiau, jei centrinė valdžia perduotų daugiau galių vietos savivaldai	Visiškai sutinku	
Laisvės partija	Aistė Valadkienė	1. Valstybė turėtų didinti mokesčius didesnes pajamas gaunantiems gyventojams, kad galėtų išplėsti socialinę paramą ir paslaugas	Greičiau nesutinku	
Laisvės partija	Aistė Valadkienė	2. Valstybė turėtų kiek įmanoma mažiau kištis į ekonomiką	Greičiau sutinku	
Laisvės partija	Aistė Valadkienė	3. Įmonėms turi būti leidžiama lengvai atleisti darbuotojus	Greičiau nesutinku	
Laisvės partija	Aistė Valadkienė	4. Laisva rinka užtikrina didesnį sveikatos paslaugų prieinamumą ir aukštesnę kokybę	Greičiau sutinku	
Laisvės partija	Aistė Valadkienė	5. Valstybė turėtų mažinti PVM pagrindiniams maisto produktams	Greičiau sutinku	
Laisvės partija	Aistė Valadkienė	6. Gyventojų pajamų mokestį visiems Lietuvos gyventojams reikia mažinti iki 15 proc	Nei taip, nei ne	
Laisvės partija	Aistė Valadkienė	7. Mokyklų tinklas Lietuvoje turi būti mažinamas	Greičiau sutinku	
Laisvės partija	Aistė Valadkienė	8. Lietuvoje reikia didinti aplinkosaugos mokesčius	Visiškai sutinku	
Laisvės partija	Aistė Valadkienė	9. Marihuanos vartojimas laisvalaikio tikslais turi būti legalizuotas	Greičiau sutinku	
Laisvės partija	Aistė Valadkienė	10. Lietuvoje išduodamuose asmens dokumentuose turėtų būti leidžiama rašyti nelietuviško raidyno raides (pvz., „w“, „x“ ir „q“)	Greičiau sutinku	
Laisvės partija	Aistė Valadkienė	11. Tos pačios lyties asmenų poros turi turėti tokias pat teises tuoktis kaip ir heteroseksualios poros	Visiškai sutinku	
Laisvės partija	Aistė Valadkienė	12. Imigracija į Lietuvą iš trečiųjų (ne ES) šalių turi būti griežtai ribojama	Visiškai nesutinku	
Laisvės partija	Aistė Valadkienė	13. Moterys turi turėti teisę laisvai apsispręsti dėl aborto	Visiškai sutinku	
Laisvės partija	Aistė Valadkienė	14. Bausmės nusikaltėliams turi būti griežtinamos	Nei taip, nei ne	
Laisvės partija	Aistė Valadkienė	15. Griežti piliečių laisvių ir teisių suvaržymai (pavyzdžiui, mobiliojo ryšio priemonių sekimas) yra priimtini kovojant su pandemija	Greičiau nesutinku	
Laisvės partija	Aistė Valadkienė	16. Valstybinė lietuvių kalbos inspekcija turi būti panaikinta	Nei taip, nei ne	
Laisvės partija	Aistė Valadkienė	17. Lietuva galėtų pirkti elektrą iš Astravo atominės elektrinės, jeigu ji būtų pigesnė už esamas alternatyvas	Visiškai nesutinku	
Laisvės partija	Aistė Valadkienė	18. ES ekonominės sankcijos Rusijai turėtų būti švelninamos, net jei ji toliau nesilaikytų Minsko susitarimų su Ukraina	Visiškai nesutinku	
Laisvės partija	Aistė Valadkienė	19. Reikėtų siekti, kad Lietuvos gynybos biudžetas būtų didinamas virš NATO normos ir pasiektų 2,5 proc. BVP	Visiškai nesutinku	
Laisvės partija	Aistė Valadkienė	20. Lietuvos retorika Rusijos atžvilgiu yra pernelyg agresyvi	Visiškai nesutinku	
Laisvės partija	Aistė Valadkienė	21. Reikėtų siekti ekonomiškai naudingo bendradarbiavimo su Baltarusija, net jei ten pažeidinėjamos žmogaus teisės ir laisvės	Visiškai nesutinku	
Laisvės partija	Aistė Valadkienė	22. Lietuvoje reikia riboti Rusijos federacijos televizijos kanalų transliacijas	Visiškai sutinku	
Laisvės partija	Aistė Valadkienė	23. Lietuva turi remti žmogaus teisių ir demokratijos šalininkus Kinijoje, net jeigu dėl to suprastėtų santykiai su šia šalimi	Visiškai sutinku	
Laisvės partija	Aistė Valadkienė	24. Lietuva turėtų palaikyti Lenkiją, nepaisant ES kritikos dėl demokratijos principų pažeidimų	Greičiau nesutinku	
Laisvės partija	Aistė Valadkienė	25. Išsiskyrus JAV ir ES lyderių pozicijoms, Lietuva turėtų remti ES pusę	Greičiau sutinku	
Laisvės partija	Aistė Valadkienė	26. NATO ir ES valstybių pilietybę įgijusiems Lietuvos piliečiams turėtų būti leista išsaugoti Lietuvos pilietybę	Visiškai sutinku	
Laisvės partija	Aistė Valadkienė	27. ES ateityje turėtų judėti gilesnės integracijos link, net jei dėl to mažiau galių turės nacionalinės valdžios institucijos	Greičiau sutinku	
Laisvės partija	Aistė Valadkienė	28. Jono Noreikos-Generolo Vėtros atminimo lenta ant Lietuvos mokslų akademijos Vrublevskių bibliotekos sienos turi būti palikta	Neturiu nuomonės	
Laisvės partija	Aistė Valadkienė	29. Petro Cvirkos paminklas Vilniuje turi būti nukeltas	Neturiu nuomonės	
Laisvės partija	Aistė Valadkienė	30. Vilniaus savivaldybė turi teisę Lukiškių aikštėje įrengti smėlio paplūdimį, net jei tai nevienareikšmiškai vertinama visuomenėje	Visiškai sutinku	
Laisvės partija	Aistė Valadkienė	31. Tėvai turi galėti laisvai apsispręsti, ar skiepyti savo vaikus, net jei tai keltų grėsmę visuomenės saugumui	Greičiau nesutinku	
Laisvės partija	Aistė Valadkienė	32. LR Seimo nariai turi būti renkami proporcine sistema pagal partijų sąrašus	Greičiau nesutinku	
Laisvės partija	Aistė Valadkienė	33. Žmonių problemos būtų sprendžiamos veiksmingiau, jei centrinė valdžia perduotų daugiau galių vietos savivaldai	Visiškai sutinku	
Laisvės partija	Aivaras Jonyka	1. Valstybė turėtų didinti mokesčius didesnes pajamas gaunantiems gyventojams, kad galėtų išplėsti socialinę paramą ir paslaugas	Greičiau sutinku	
Laisvės partija	Aivaras Jonyka	2. Valstybė turėtų kiek įmanoma mažiau kištis į ekonomiką	Visiškai sutinku	
Laisvės partija	Aivaras Jonyka	3. Įmonėms turi būti leidžiama lengvai atleisti darbuotojus	Nei taip, nei ne	
Laisvės partija	Aivaras Jonyka	4. Laisva rinka užtikrina didesnį sveikatos paslaugų prieinamumą ir aukštesnę kokybę	Greičiau sutinku	
Laisvės partija	Aivaras Jonyka	5. Valstybė turėtų mažinti PVM pagrindiniams maisto produktams	Greičiau sutinku	
Laisvės partija	Aivaras Jonyka	6. Gyventojų pajamų mokestį visiems Lietuvos gyventojams reikia mažinti iki 15 proc	Visiškai sutinku	
Laisvės partija	Aivaras Jonyka	7. Mokyklų tinklas Lietuvoje turi būti mažinamas	Visiškai nesutinku	
Laisvės partija	Aivaras Jonyka	8. Lietuvoje reikia didinti aplinkosaugos mokesčius	Visiškai nesutinku	
Laisvės partija	Aivaras Jonyka	9. Marihuanos vartojimas laisvalaikio tikslais turi būti legalizuotas	Visiškai sutinku	
Laisvės partija	Aivaras Jonyka	10. Lietuvoje išduodamuose asmens dokumentuose turėtų būti leidžiama rašyti nelietuviško raidyno raides (pvz., „w“, „x“ ir „q“)	Visiškai sutinku	
Laisvės partija	Aivaras Jonyka	11. Tos pačios lyties asmenų poros turi turėti tokias pat teises tuoktis kaip ir heteroseksualios poros	Visiškai sutinku	
Laisvės partija	Aivaras Jonyka	12. Imigracija į Lietuvą iš trečiųjų (ne ES) šalių turi būti griežtai ribojama	Visiškai nesutinku	
Laisvės partija	Aivaras Jonyka	13. Moterys turi turėti teisę laisvai apsispręsti dėl aborto	Visiškai sutinku	
Laisvės partija	Aivaras Jonyka	14. Bausmės nusikaltėliams turi būti griežtinamos	Visiškai nesutinku	
Laisvės partija	Aivaras Jonyka	15. Griežti piliečių laisvių ir teisių suvaržymai (pavyzdžiui, mobiliojo ryšio priemonių sekimas) yra priimtini kovojant su pandemija	Visiškai nesutinku	
Laisvės partija	Aivaras Jonyka	16. Valstybinė lietuvių kalbos inspekcija turi būti panaikinta	Greičiau sutinku	
Laisvės partija	Aivaras Jonyka	17. Lietuva galėtų pirkti elektrą iš Astravo atominės elektrinės, jeigu ji būtų pigesnė už esamas alternatyvas	Greičiau nesutinku	
Laisvės partija	Aivaras Jonyka	18. ES ekonominės sankcijos Rusijai turėtų būti švelninamos, net jei ji toliau nesilaikytų Minsko susitarimų su Ukraina	Nei taip, nei ne	
Laisvės partija	Aivaras Jonyka	19. Reikėtų siekti, kad Lietuvos gynybos biudžetas būtų didinamas virš NATO normos ir pasiektų 2,5 proc. BVP	Visiškai nesutinku	
Laisvės partija	Aivaras Jonyka	20. Lietuvos retorika Rusijos atžvilgiu yra pernelyg agresyvi	Nei taip, nei ne	
Laisvės partija	Aivaras Jonyka	21. Reikėtų siekti ekonomiškai naudingo bendradarbiavimo su Baltarusija, net jei ten pažeidinėjamos žmogaus teisės ir laisvės	Visiškai nesutinku	
Laisvės partija	Aivaras Jonyka	22. Lietuvoje reikia riboti Rusijos federacijos televizijos kanalų transliacijas	Visiškai nesutinku	
Laisvės partija	Aivaras Jonyka	23. Lietuva turi remti žmogaus teisių ir demokratijos šalininkus Kinijoje, net jeigu dėl to suprastėtų santykiai su šia šalimi	Visiškai sutinku	
Laisvės partija	Aivaras Jonyka	24. Lietuva turėtų palaikyti Lenkiją, nepaisant ES kritikos dėl demokratijos principų pažeidimų	Greičiau nesutinku	
Laisvės partija	Aivaras Jonyka	25. Išsiskyrus JAV ir ES lyderių pozicijoms, Lietuva turėtų remti ES pusę	Visiškai sutinku	
Laisvės partija	Aivaras Jonyka	26. NATO ir ES valstybių pilietybę įgijusiems Lietuvos piliečiams turėtų būti leista išsaugoti Lietuvos pilietybę	Visiškai sutinku	
Laisvės partija	Aivaras Jonyka	27. ES ateityje turėtų judėti gilesnės integracijos link, net jei dėl to mažiau galių turės nacionalinės valdžios institucijos	Greičiau nesutinku	
Laisvės partija	Aivaras Jonyka	28. Jono Noreikos-Generolo Vėtros atminimo lenta ant Lietuvos mokslų akademijos Vrublevskių bibliotekos sienos turi būti palikta	Greičiau nesutinku	
Laisvės partija	Aivaras Jonyka	29. Petro Cvirkos paminklas Vilniuje turi būti nukeltas	Greičiau sutinku	
Laisvės partija	Aivaras Jonyka	30. Vilniaus savivaldybė turi teisę Lukiškių aikštėje įrengti smėlio paplūdimį, net jei tai nevienareikšmiškai vertinama visuomenėje	Visiškai sutinku	
Laisvės partija	Aivaras Jonyka	31. Tėvai turi galėti laisvai apsispręsti, ar skiepyti savo vaikus, net jei tai keltų grėsmę visuomenės saugumui	Greičiau nesutinku	
Laisvės partija	Aivaras Jonyka	32. LR Seimo nariai turi būti renkami proporcine sistema pagal partijų sąrašus	Visiškai nesutinku	
Laisvės partija	Aivaras Jonyka	33. Žmonių problemos būtų sprendžiamos veiksmingiau, jei centrinė valdžia perduotų daugiau galių vietos savivaldai	Visiškai sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	1. Valstybė turėtų didinti mokesčius didesnes pajamas gaunantiems gyventojams, kad galėtų išplėsti socialinę paramą ir paslaugas	Visiškai nesutinku	
Laisvės partija	Akvilė Bartaševičiūtė	2. Valstybė turėtų kiek įmanoma mažiau kištis į ekonomiką	Greičiau sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	3. Įmonėms turi būti leidžiama lengvai atleisti darbuotojus	Visiškai sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	4. Laisva rinka užtikrina didesnį sveikatos paslaugų prieinamumą ir aukštesnę kokybę	Visiškai sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	5. Valstybė turėtų mažinti PVM pagrindiniams maisto produktams	Visiškai sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	6. Gyventojų pajamų mokestį visiems Lietuvos gyventojams reikia mažinti iki 15 proc	Visiškai sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	7. Mokyklų tinklas Lietuvoje turi būti mažinamas	Visiškai sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	8. Lietuvoje reikia didinti aplinkosaugos mokesčius	Greičiau sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	9. Marihuanos vartojimas laisvalaikio tikslais turi būti legalizuotas	Visiškai sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	10. Lietuvoje išduodamuose asmens dokumentuose turėtų būti leidžiama rašyti nelietuviško raidyno raides (pvz., „w“, „x“ ir „q“)	Visiškai sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	11. Tos pačios lyties asmenų poros turi turėti tokias pat teises tuoktis kaip ir heteroseksualios poros	Visiškai sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	12. Imigracija į Lietuvą iš trečiųjų (ne ES) šalių turi būti griežtai ribojama	Visiškai nesutinku	
Laisvės partija	Akvilė Bartaševičiūtė	13. Moterys turi turėti teisę laisvai apsispręsti dėl aborto	Visiškai sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	14. Bausmės nusikaltėliams turi būti griežtinamos	Visiškai nesutinku	
Laisvės partija	Akvilė Bartaševičiūtė	15. Griežti piliečių laisvių ir teisių suvaržymai (pavyzdžiui, mobiliojo ryšio priemonių sekimas) yra priimtini kovojant su pandemija	Greičiau nesutinku	
Laisvės partija	Akvilė Bartaševičiūtė	16. Valstybinė lietuvių kalbos inspekcija turi būti panaikinta	Visiškai sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	17. Lietuva galėtų pirkti elektrą iš Astravo atominės elektrinės, jeigu ji būtų pigesnė už esamas alternatyvas	Visiškai nesutinku	
Laisvės partija	Akvilė Bartaševičiūtė	18. ES ekonominės sankcijos Rusijai turėtų būti švelninamos, net jei ji toliau nesilaikytų Minsko susitarimų su Ukraina	Visiškai nesutinku	
Laisvės partija	Akvilė Bartaševičiūtė	19. Reikėtų siekti, kad Lietuvos gynybos biudžetas būtų didinamas virš NATO normos ir pasiektų 2,5 proc. BVP	Visiškai sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	20. Lietuvos retorika Rusijos atžvilgiu yra pernelyg agresyvi	Visiškai nesutinku	
Laisvės partija	Akvilė Bartaševičiūtė	21. Reikėtų siekti ekonomiškai naudingo bendradarbiavimo su Baltarusija, net jei ten pažeidinėjamos žmogaus teisės ir laisvės	Visiškai nesutinku	
Laisvės partija	Akvilė Bartaševičiūtė	22. Lietuvoje reikia riboti Rusijos federacijos televizijos kanalų transliacijas	Greičiau sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	23. Lietuva turi remti žmogaus teisių ir demokratijos šalininkus Kinijoje, net jeigu dėl to suprastėtų santykiai su šia šalimi	Visiškai sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	24. Lietuva turėtų palaikyti Lenkiją, nepaisant ES kritikos dėl demokratijos principų pažeidimų	Visiškai nesutinku	
Laisvės partija	Akvilė Bartaševičiūtė	25. Išsiskyrus JAV ir ES lyderių pozicijoms, Lietuva turėtų remti ES pusę	Nei taip, nei ne	
Laisvės partija	Akvilė Bartaševičiūtė	26. NATO ir ES valstybių pilietybę įgijusiems Lietuvos piliečiams turėtų būti leista išsaugoti Lietuvos pilietybę	Visiškai sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	27. ES ateityje turėtų judėti gilesnės integracijos link, net jei dėl to mažiau galių turės nacionalinės valdžios institucijos	Nei taip, nei ne	
Laisvės partija	Akvilė Bartaševičiūtė	28. Jono Noreikos-Generolo Vėtros atminimo lenta ant Lietuvos mokslų akademijos Vrublevskių bibliotekos sienos turi būti palikta	Visiškai nesutinku	
Laisvės partija	Akvilė Bartaševičiūtė	29. Petro Cvirkos paminklas Vilniuje turi būti nukeltas	Visiškai sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	30. Vilniaus savivaldybė turi teisę Lukiškių aikštėje įrengti smėlio paplūdimį, net jei tai nevienareikšmiškai vertinama visuomenėje	Visiškai sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	31. Tėvai turi galėti laisvai apsispręsti, ar skiepyti savo vaikus, net jei tai keltų grėsmę visuomenės saugumui	Greičiau nesutinku	
Laisvės partija	Akvilė Bartaševičiūtė	32. LR Seimo nariai turi būti renkami proporcine sistema pagal partijų sąrašus	Visiškai sutinku	
Laisvės partija	Akvilė Bartaševičiūtė	33. Žmonių problemos būtų sprendžiamos veiksmingiau, jei centrinė valdžia perduotų daugiau galių vietos savivaldai	Visiškai sutinku	
Laisvės partija	Algis Bitautas	1. Valstybė turėtų didinti mokesčius didesnes pajamas gaunantiems gyventojams, kad galėtų išplėsti socialinę paramą ir paslaugas	Nei taip, nei ne	
Laisvės partija	Algis Bitautas	2. Valstybė turėtų kiek įmanoma mažiau kištis į ekonomiką	Visiškai sutinku	
Laisvės partija	Algis Bitautas	3. Įmonėms turi būti leidžiama lengvai atleisti darbuotojus	Greičiau nesutinku	
Laisvės partija	Algis Bitautas	4. Laisva rinka užtikrina didesnį sveikatos paslaugų prieinamumą ir aukštesnę kokybę	Visiškai sutinku	
Laisvės partija	Algis Bitautas	5. Valstybė turėtų mažinti PVM pagrindiniams maisto produktams	Greičiau sutinku	
Laisvės partija	Algis Bitautas	6. Gyventojų pajamų mokestį visiems Lietuvos gyventojams reikia mažinti iki 15 proc	Visiškai sutinku	
Laisvės partija	Algis Bitautas	7. Mokyklų tinklas Lietuvoje turi būti mažinamas	Visiškai sutinku	
Laisvės partija	Algis Bitautas	8. Lietuvoje reikia didinti aplinkosaugos mokesčius	Greičiau nesutinku	
Laisvės partija	Algis Bitautas	9. Marihuanos vartojimas laisvalaikio tikslais turi būti legalizuotas	Greičiau sutinku	
Laisvės partija	Algis Bitautas	10. Lietuvoje išduodamuose asmens dokumentuose turėtų būti leidžiama rašyti nelietuviško raidyno raides (pvz., „w“, „x“ ir „q“)	Greičiau sutinku	
